symbol,tf,trades,wr,avg_r,med_r,total_r,pf,avg_wr_per_trade,pos_r,neg_r,exit_reasons,directions,patterns,elapsed
ADAUSDT,15m,13242,41.6,0.305,-1.0,4036.8,117437742000000.0,0.305,2.129,-0.997,"{'SL': 7703, 'TP1+BE': 3793, 'TP1+TP2': 1428, 'TP1+SL': 315, 'Timeout': 3}","{'bearish': {'trades': 6367, 'wr': np.float64(43.3), 'avg_r': np.float64(0.333)}, 'bullish': {'trades': 6875, 'wr': np.float64(40.1), 'avg_r': np.float64(0.279)}}","{'15m': {'trades': 7561, 'wr_sum': np.int64(3876), 'r_sum': np.float64(1836.6295000000052), 'wr': np.float64(51.3), 'avg_r': np.float64(0.243)}, 'Gartley': {'trades': 1260, 'wr_sum': np.int64(375), 'r_sum': np.float64(535.8574000000003), 'wr': np.float64(29.8), 'avg_r': np.float64(0.425)}, 'Bat': {'trades': 526, 'wr_sum': np.int64(142), 'r_sum': np.float64(277.2678), 'wr': np.float64(27.0), 'avg_r': np.float64(0.527)}, 'Crab': {'trades': 1226, 'wr_sum': np.int64(290), 'r_sum': np.float64(505.33079999999984), 'wr': np.float64(23.7), 'avg_r': np.float64(0.412)}, 'Butterfly': {'trades': 1846, 'wr_sum': np.int64(596), 'r_sum': np.float64(690.6463), 'wr': np.float64(32.3), 'avg_r': np.float64(0.374)}, 'DeepCrab': {'trades': 823, 'wr_sum': np.int64(236), 'r_sum': np.float64(191.0242000000001), 'wr': np.float64(28.7), 'avg_r': np.float64(0.232)}}",3.9
ATOMUSDT,15m,12204,43.2,0.284,-1.0,3467.8,104005040000000.0,0.284,1.974,-1.0,"{'SL': 6932, 'TP1+BE': 3774, 'TP1+TP2': 1313, 'TP1+SL': 180, 'Timeout': 5}","{'bearish': {'trades': 5961, 'wr': np.float64(45.0), 'avg_r': np.float64(0.345)}, 'bullish': {'trades': 6243, 'wr': np.float64(41.5), 'avg_r': np.float64(0.226)}}","{'15m': {'trades': 7103, 'wr_sum': np.int64(3758), 'r_sum': np.float64(1690.9327000000026), 'wr': np.float64(52.9), 'avg_r': np.float64(0.238)}, 'Gartley': {'trades': 1112, 'wr_sum': np.int64(356), 'r_sum': np.float64(457.15830000000017), 'wr': np.float64(32.0), 'avg_r': np.float64(0.411)}, 'Crab': {'trades': 1072, 'wr_sum': np.int64(247), 'r_sum': np.float64(453.13040000000035), 'wr': np.float64(23.0), 'avg_r': np.float64(0.423)}, 'Butterfly': {'trades': 1654, 'wr_sum': np.int64(533), 'r_sum': np.float64(518.5343000000001), 'wr': np.float64(32.2), 'avg_r': np.float64(0.314)}, 'DeepCrab': {'trades': 782, 'wr_sum': np.int64(241), 'r_sum': np.float64(185.50409999999982), 'wr': np.float64(30.8), 'avg_r': np.float64(0.237)}, 'Bat': {'trades': 481, 'wr_sum': np.int64(133), 'r_sum': np.float64(162.50980000000004), 'wr': np.float64(27.7), 'avg_r': np.float64(0.338)}}",4.1
AVAXUSDT,15m,12618,40.5,0.307,-1.0,3871.7,113655746000000.02,0.307,2.226,-0.998,"{'SL': 7491, 'TP1+BE': 3381, 'TP1+TP2': 1451, 'TP1+SL': 288, 'Timeout': 7}","{'bullish': {'trades': 6550, 'wr': np.float64(39.7), 'avg_r': np.float64(0.276)}, 'bearish': {'trades': 6068, 'wr': np.float64(41.3), 'avg_r': np.float64(0.34)}}","{'15m': {'trades': 7150, 'wr_sum': np.int64(3571), 'r_sum': np.float64(1876.0384999999985), 'wr': np.float64(49.9), 'avg_r': np.float64(0.262)}, 'DeepCrab': {'trades': 759, 'wr_sum': np.int64(217), 'r_sum': np.float64(228.9150000000001), 'wr': np.float64(28.6), 'avg_r': np.float64(0.302)}, 'Butterfly': {'trades': 1712, 'wr_sum': np.int64(516), 'r_sum': np.float64(597.1256000000001), 'wr': np.float64(30.1), 'avg_r': np.float64(0.349)}, 'Gartley': {'trades': 1227, 'wr_sum': np.int64(365), 'r_sum': np.float64(472.4028999999999), 'wr': np.float64(29.7), 'avg_r': np.float64(0.385)}, 'Bat': {'trades': 567, 'wr_sum': np.int64(138), 'r_sum': np.float64(188.539), 'wr': np.float64(24.3), 'avg_r': np.float64(0.333)}, 'Crab': {'trades': 1203, 'wr_sum': np.int64(299), 'r_sum': np.float64(508.6671999999999), 'wr': np.float64(24.9), 'avg_r': np.float64(0.423)}}",3.7
BNBUSDT,15m,12520,52.8,0.361,0.399,4520.5,103973017000000.0,0.361,1.572,-0.995,"{'SL': 5873, 'TP1+BE': 4655, 'TP1+TP2': 1803, 'TP1+SL': 185, 'Timeout': 4}","{'bearish': {'trades': 6250, 'wr': np.float64(52.1), 'avg_r': np.float64(0.331)}, 'bullish': {'trades': 6270, 'wr': np.float64(53.6), 'avg_r': np.float64(0.391)}}","{'15m': {'trades': 6908, 'wr_sum': np.int64(4283), 'r_sum': np.float64(1801.4892999999952), 'wr': np.float64(62.0), 'avg_r': np.float64(0.261)}, 'Butterfly': {'trades': 1790, 'wr_sum': np.int64(816), 'r_sum': np.float64(832.1489999999991), 'wr': np.float64(45.6), 'avg_r': np.float64(0.465)}, 'Gartley': {'trades': 1237, 'wr_sum': np.int64(537), 'r_sum': np.float64(645.2154999999995), 'wr': np.float64(43.4), 'avg_r': np.float64(0.522)}, 'Bat': {'trades': 560, 'wr_sum': np.int64(218), 'r_sum': np.float64(294.81269999999984), 'wr': np.float64(38.9), 'avg_r': np.float64(0.526)}, 'Crab': {'trades': 1207, 'wr_sum': np.int64(374), 'r_sum': np.float64(542.8337000000002), 'wr': np.float64(31.0), 'avg_r': np.float64(0.45)}, 'DeepCrab': {'trades': 818, 'wr_sum': np.int64(387), 'r_sum': np.float64(404.0195999999998), 'wr': np.float64(47.3), 'avg_r': np.float64(0.494)}}",3.5
BTCUSDT,15m,13192,56.5,0.39,0.481,5146.1,108804045000000.0,0.39,1.46,-0.999,"{'SL': 5734, 'TP1+BE': 5183, 'TP1+TP2': 2114, 'TP1+SL': 156, 'Timeout': 5}","{'bearish': {'trades': 6571, 'wr': np.float64(56.0), 'avg_r': np.float64(0.378)}, 'bullish': {'trades': 6621, 'wr': np.float64(56.9), 'avg_r': np.float64(0.402)}}","{'15m': {'trades': 7152, 'wr_sum': np.int64(4641), 'r_sum': np.float64(1886.9477000000004), 'wr': np.float64(64.9), 'avg_r': np.float64(0.264)}, 'Gartley': {'trades': 1316, 'wr_sum': np.int64(641), 'r_sum': np.float64(745.1354999999995), 'wr': np.float64(48.7), 'avg_r': np.float64(0.566)}, 'Bat': {'trades': 608, 'wr_sum': np.int64(263), 'r_sum': np.float64(329.46870000000035), 'wr': np.float64(43.3), 'avg_r': np.float64(0.542)}, 'Butterfly': {'trades': 1982, 'wr_sum': np.int64(1040), 'r_sum': np.float64(1201.9868999999997), 'wr': np.float64(52.5), 'avg_r': np.float64(0.606)}, 'DeepCrab': {'trades': 847, 'wr_sum': np.int64(422), 'r_sum': np.float64(424.4566000000003), 'wr': np.float64(49.8), 'avg_r': np.float64(0.501)}, 'Crab': {'trades': 1287, 'wr_sum': np.int64(444), 'r_sum': np.float64(558.0606), 'wr': np.float64(34.5), 'avg_r': np.float64(0.434)}}",4.0
DOGEUSDT,15m,13197,40.6,0.281,-1.0,3708.7,115107255000000.0,0.281,2.146,-0.996,"{'SL': 7795, 'TP1+BE': 3506, 'TP1+TP2': 1538, 'TP1+SL': 357, 'Timeout': 1}","{'bearish': {'trades': 6614, 'wr': np.float64(41.2), 'avg_r': np.float64(0.284)}, 'bullish': {'trades': 6583, 'wr': np.float64(40.1), 'avg_r': np.float64(0.278)}}","{'15m': {'trades': 7469, 'wr_sum': np.int64(3709), 'r_sum': np.float64(1767.5592999999967), 'wr': np.float64(49.7), 'avg_r': np.float64(0.237)}, 'Gartley': {'trades': 1282, 'wr_sum': np.int64(395), 'r_sum': np.float64(491.69439999999986), 'wr': np.float64(30.8), 'avg_r': np.float64(0.384)}, 'Crab': {'trades': 1234, 'wr_sum': np.int64(289), 'r_sum': np.float64(406.06250000000017), 'wr': np.float64(23.4), 'avg_r': np.float64(0.329)}, 'Butterfly': {'trades': 1846, 'wr_sum': np.int64(581), 'r_sum': np.float64(560.6991), 'wr': np.float64(31.5), 'avg_r': np.float64(0.304)}, 'DeepCrab': {'trades': 829, 'wr_sum': np.int64(248), 'r_sum': np.float64(267.26399999999995), 'wr': np.float64(29.9), 'avg_r': np.float64(0.322)}, 'Bat': {'trades': 537, 'wr_sum': np.int64(142), 'r_sum': np.float64(215.42149999999995), 'wr': np.float64(26.4), 'avg_r': np.float64(0.401)}}",4.2
DOTUSDT,15m,12552,42.1,0.286,-1.0,3592.0,108594276000000.0,0.286,2.057,-0.999,"{'SL': 7267, 'TP1+BE': 3685, 'TP1+TP2': 1366, 'TP1+SL': 231, 'Timeout': 2, 'TP1+Timeout': 1}","{'bearish': {'trades': 6098, 'wr': np.float64(42.1), 'avg_r': np.float64(0.255)}, 'bullish': {'trades': 6454, 'wr': np.float64(42.1), 'avg_r': np.float64(0.315)}}","{'15m': {'trades': 7261, 'wr_sum': np.int64(3799), 'r_sum': np.float64(1899.3810000000021), 'wr': np.float64(52.3), 'avg_r': np.float64(0.262)}, 'Gartley': {'trades': 1140, 'wr_sum': np.int64(334), 'r_sum': np.float64(426.9333999999998), 'wr': np.float64(29.3), 'avg_r': np.float64(0.375)}, 'Butterfly': {'trades': 1770, 'wr_sum': np.int64(552), 'r_sum': np.float64(529.2941999999997), 'wr': np.float64(31.2), 'avg_r': np.float64(0.299)}, 'DeepCrab': {'trades': 791, 'wr_sum': np.int64(250), 'r_sum': np.float64(314.7443999999999), 'wr': np.float64(31.6), 'avg_r': np.float64(0.398)}, 'Bat': {'trades': 479, 'wr_sum': np.int64(113), 'r_sum': np.float64(126.91869999999999), 'wr': np.float64(23.6), 'avg_r': np.float64(0.265)}, 'Crab': {'trades': 1111, 'wr_sum': np.int64(232), 'r_sum': np.float64(294.7586000000001), 'wr': np.float64(20.9), 'avg_r': np.float64(0.265)}}",3.6
ETCUSDT,15m,12626,44.1,0.332,-1.0,4193.5,112470914999999.98,0.332,2.021,-0.999,"{'SL': 7053, 'TP1+BE': 3790, 'TP1+TP2': 1539, 'TP1+SL': 241, 'Timeout': 3}","{'bullish': {'trades': 6572, 'wr': np.float64(43.3), 'avg_r': np.float64(0.31)}, 'bearish': {'trades': 6054, 'wr': np.float64(44.9), 'avg_r': np.float64(0.357)}}","{'15m': {'trades': 7152, 'wr_sum': np.int64(3843), 'r_sum': np.float64(1856.2275999999986), 'wr': np.float64(53.7), 'avg_r': np.float64(0.26)}, 'Gartley': {'trades': 1257, 'wr_sum': np.int64(427), 'r_sum': np.float64(610.7506999999998), 'wr': np.float64(34.0), 'avg_r': np.float64(0.486)}, 'Butterfly': {'trades': 1741, 'wr_sum': np.int64(600), 'r_sum': np.float64(722.1548000000001), 'wr': np.float64(34.5), 'avg_r': np.float64(0.415)}, 'DeepCrab': {'trades': 757, 'wr_sum': np.int64(240), 'r_sum': np.float64(277.15380000000005), 'wr': np.float64(31.7), 'avg_r': np.float64(0.366)}, 'Bat': {'trades': 504, 'wr_sum': np.int64(151), 'r_sum': np.float64(221.15600000000003), 'wr': np.float64(30.0), 'avg_r': np.float64(0.439)}, 'Crab': {'trades': 1215, 'wr_sum': np.int64(304), 'r_sum': np.float64(506.0181000000002), 'wr': np.float64(25.0), 'avg_r': np.float64(0.416)}}",3.4
ETHUSDT,15m,14134,47.9,0.341,-1.0,4824.3,121810003999999.98,0.341,1.8,-0.999,"{'SL': 7356, 'TP1+BE': 4466, 'TP1+TP2': 2007, 'TP1+SL': 298, 'Timeout': 7}","{'bearish': {'trades': 7036, 'wr': np.float64(47.8), 'avg_r': np.float64(0.356)}, 'bullish': {'trades': 7098, 'wr': np.float64(47.9), 'avg_r': np.float64(0.327)}}","{'15m': {'trades': 7767, 'wr_sum': np.int64(4477), 'r_sum': np.float64(2035.1832), 'wr': np.float64(57.6), 'avg_r': np.float64(0.262)}, 'Gartley': {'trades': 1410, 'wr_sum': np.int64(531), 'r_sum': np.float64(579.7159999999998), 'wr': np.float64(37.7), 'avg_r': np.float64(0.411)}, 'Bat': {'trades': 565, 'wr_sum': np.int64(189), 'r_sum': np.float64(195.99429999999995), 'wr': np.float64(33.5), 'avg_r': np.float64(0.347)}, 'Butterfly': {'trades': 2068, 'wr_sum': np.int64(834), 'r_sum': np.float64(1027.494199999999), 'wr': np.float64(40.3), 'avg_r': np.float64(0.497)}, 'Crab': {'trades': 1382, 'wr_sum': np.int64(392), 'r_sum': np.float64(639.5667999999995), 'wr': np.float64(28.4), 'avg_r': np.float64(0.463)}, 'DeepCrab': {'trades': 942, 'wr_sum': np.int64(344), 'r_sum': np.float64(346.3952000000002), 'wr': np.float64(36.5), 'avg_r': np.float64(0.368)}}",3.5
FILUSDT,15m,13127,41.4,0.298,-1.0,3911.4,115989084999999.98,0.298,2.134,-1.0,"{'SL': 7687, 'TP1+BE': 3769, 'TP1+TP2': 1381, 'TP1+SL': 287, 'Timeout': 3}","{'bearish': {'trades': 6421, 'wr': np.float64(42.0), 'avg_r': np.float64(0.325)}, 'bullish': {'trades': 6706, 'wr': np.float64(40.8), 'avg_r': np.float64(0.272)}}","{'15m': {'trades': 7607, 'wr_sum': np.int64(3885), 'r_sum': np.float64(2025.7537000000016), 'wr': np.float64(51.1), 'avg_r': np.float64(0.266)}, 'Butterfly': {'trades': 1780, 'wr_sum': np.int64(543), 'r_sum': np.float64(517.5689999999997), 'wr': np.float64(30.5), 'avg_r': np.float64(0.291)}, 'Gartley': {'trades': 1210, 'wr_sum': np.int64(360), 'r_sum': np.float64(407.96980000000036), 'wr': np.float64(29.8), 'avg_r': np.float64(0.337)}, 'Crab': {'trades': 1192, 'wr_sum': np.int64(245), 'r_sum': np.float64(381.78220000000016), 'wr': np.float64(20.6), 'avg_r': np.float64(0.32)}, 'Bat': {'trades': 517, 'wr_sum': np.int64(134), 'r_sum': np.float64(198.36569999999998), 'wr': np.float64(25.9), 'avg_r': np.float64(0.384)}, 'DeepCrab': {'trades': 821, 'wr_sum': np.int64(269), 'r_sum': np.float64(379.9763), 'wr': np.float64(32.8), 'avg_r': np.float64(0.463)}}",5.3
