feature,importance
ab_distance_pct,0.4037356
atr_pct,0.10910443
volume_ratio,0.07489835
bc_bars,0.04466872
d_zone_volume_ratio,0.043091334
bc_ab_ratio,0.04280552
d_zone_momentum,0.03661525
d_zone_wick_ratio,0.03428012
atr_percentile_20,0.03402589
price_vs_ema20,0.026078554
volume_trend,0.020582201
ab_bars,0.02020916
hour_of_day,0.019906819
price_symmetry_score,0.019014645
day_of_week,0.017223964
quality_score,0.015116572
ema20_50_direction,0.014186809
fib_score,0.012459163
time_symmetry_score,0.011996943
d_zone_bars,0.0
