strategy_name,regime,enable_score,market_opportunity_score,final_activation_score,status,regime_edge_score,recent_health_score,monte_carlo_stability_score,risk_control_score,sample_confidence_multiplier,recent_loss_penalty,mc_tail_risk_penalty,edge_concentration_penalty,score_drivers,penalty_drivers,primary_reason,risk_notes,review_required,low_sample_warning,edge_concentration_warning
ABCD_V4_ML_NEARUSDT_15m,unknown,75.76,1.0,75.76,中等开启,88.81,79.16,80.58,41.09,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_UNIUSDT_15m,unknown,77.19,1.0,77.19,中等开启,89.37,82.02,80.5,45.08,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_LTCUSDT_15m,unknown,77.61,1.0,77.61,中等开启,90.06,82.55,81.21,44.48,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_FILUSDT_15m,unknown,77.59,1.0,77.59,中等开启,89.66,82.52,81.31,45.13,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_ADAUSDT_15m,unknown,74.93,1.0,74.93,中等开启,88.57,80.15,80.55,36.69,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_ETCUSDT_15m,unknown,75.89,1.0,75.89,中等开启,88.97,80.75,78.0,43.47,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_SOLUSDT_15m,unknown,75.4,1.0,75.4,中等开启,88.54,79.88,78.0,42.54,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_BTCUSDT_15m,unknown,77.35,1.0,77.35,中等开启,90.16,82.1,81.42,43.05,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_DOGEUSDT_15m,unknown,76.9,1.0,76.9,中等开启,88.78,80.37,80.5,46.06,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_XRPUSDT_15m,unknown,75.52,1.0,75.52,中等开启,89.21,81.25,78.0,40.74,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_LINKUSDT_15m,unknown,78.23,1.0,78.23,中等开启,90.29,83.66,81.25,46.26,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_AVAXUSDT_15m,unknown,78.06,1.0,78.06,中等开启,89.59,82.39,80.62,48.56,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_BNBUSDT_15m,unknown,76.38,1.0,76.38,中等开启,89.51,81.63,78.0,44.16,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_ETHUSDT_15m,unknown,75.96,1.0,75.96,中等开启,89.8,81.87,80.94,37.62,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_DOTUSDT_15m,unknown,77.79,1.0,77.79,中等开启,89.86,82.87,81.22,45.56,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
ABCD_V4_ML_ATOMUSDT_15m,unknown,75.27,1.0,75.27,中等开启,89.01,80.63,80.95,36.68,1.0,1.0,1.0,1.0,positive_expectancy;healthy_recent_performance;healthy_mc_distribution;strong_profit_factor,,中等开启：基础指标可接受，部分子分数偏低,,False,False,False
