group_type,group,version,rows,sl,tp1,tp2,sl_rate,tp1_rate,tp2_rate,avg_r,total_r,sl_removed_vs_base,tp2_retention_vs_base,total_r_delta_vs_base
timeframe,15m,v1_base,1870.0,1182.0,688.0,665.0,0.6320855614973262,0.3679144385026738,0.35561497326203206,0.15786612985018067,295.20966281983783,0.0,1.0,0.0
timeframe,1h,v1_base,452.0,308.0,144.0,141.0,0.6814159292035398,0.3185840707964602,0.31194690265486724,0.035856420684655464,16.20710214946427,0.0,1.0,0.0
timeframe,30m,v1_base,999.0,648.0,351.0,334.0,0.6486486486486487,0.35135135135135137,0.33433433433433435,0.09671856138031111,96.6218428189308,0.0,1.0,0.0
timeframe,15m,v1_5_mss_variable,1084.0,547.0,537.0,520.0,0.5046125461254612,0.49538745387453875,0.4797047970479705,0.5920531254010748,641.7855879347651,0.5372250423011844,0.7819548872180451,346.57592511492726
timeframe,1h,v1_5_mss_variable,326.0,195.0,131.0,129.0,0.598159509202454,0.401840490797546,0.39570552147239263,0.3277369259360895,106.84223785516518,0.36688311688311687,0.9148936170212766,90.63513570570092
timeframe,30m,v1_5_mss_variable,663.0,372.0,291.0,274.0,0.5610859728506787,0.43891402714932126,0.4132730015082956,0.36232765015492663,240.22323205271636,0.42592592592592593,0.8203592814371258,143.60138923378554
direction,bearish,v1_base,1624.0,1028.0,596.0,577.0,0.6330049261083743,0.3669950738916256,0.3552955665024631,0.17515485844371292,284.4514901125898,0.0,1.0,0.0
direction,bullish,v1_base,1697.0,1110.0,587.0,563.0,0.6540954625810254,0.34590453741897464,0.33176193282262817,0.07282682243703187,123.58711767564307,0.0,1.0,0.0
direction,bearish,v1_5_mss_variable,956.0,506.0,450.0,434.0,0.5292887029288703,0.4707112970711297,0.45397489539748953,0.5238544812422542,500.804884067595,0.5077821011673151,0.7521663778162911,216.35339395500523
direction,bullish,v1_5_mss_variable,1117.0,608.0,509.0,489.0,0.5443151298119964,0.4556848701880036,0.4377797672336616,0.436925849395749,488.04617377505167,0.45225225225225224,0.8685612788632326,364.4590560994086
quarter,2025Q1,v1_base,528.0,358.0,170.0,166.0,0.678030303030303,0.32196969696969696,0.3143939393939394,0.015061710578652866,7.952583185528713,0.0,1.0,0.0
quarter,2025Q2,v1_base,559.0,374.0,185.0,175.0,0.669051878354204,0.33094812164579607,0.31305903398926654,0.011933137253907822,6.670623724934472,0.0,1.0,0.0
quarter,2025Q3,v1_base,473.0,272.0,201.0,193.0,0.5750528541226215,0.4249471458773784,0.4080338266384778,0.35187872119696434,166.43863512616414,0.0,1.0,0.0
quarter,2025Q4,v1_base,638.0,424.0,214.0,209.0,0.664576802507837,0.335423197492163,0.3275862068965517,0.062161403838520674,39.65897564897619,0.0,1.0,0.0
quarter,2026Q1,v1_base,610.0,370.0,240.0,226.0,0.6065573770491803,0.39344262295081966,0.3704918032786885,0.2728192553918003,166.41974578899817,0.0,1.0,0.0
quarter,2026Q2,v1_base,513.0,340.0,173.0,171.0,0.6627680311890838,0.33723196881091616,0.3333333333333333,0.04073692848661058,20.898044313631225,0.0,1.0,0.0
quarter,2025Q1,v1_5_mss_variable,348.0,196.0,152.0,148.0,0.5632183908045977,0.4367816091954023,0.42528735632183906,0.42680522752523914,148.52821917878322,0.45251396648044695,0.891566265060241,140.5756359932545
quarter,2025Q2,v1_5_mss_variable,369.0,211.0,158.0,148.0,0.5718157181571816,0.4281842818428184,0.4010840108401084,0.3369167147935747,124.32226775882907,0.4358288770053476,0.8457142857142858,117.6516440338946
quarter,2025Q3,v1_5_mss_variable,308.0,150.0,158.0,153.0,0.487012987012987,0.512987012987013,0.4967532467532468,0.6610240707130176,203.59541377960943,0.4485294117647059,0.7927461139896373,37.156778653445286
quarter,2025Q4,v1_5_mss_variable,398.0,225.0,173.0,168.0,0.5653266331658291,0.43467336683417085,0.4221105527638191,0.40544972747388724,161.36899153460712,0.4693396226415094,0.8038277511961722,121.71001588563092
quarter,2026Q1,v1_5_mss_variable,335.0,158.0,177.0,166.0,0.4716417910447761,0.5283582089552239,0.4955223880597015,0.666653635573314,223.3289679170602,0.572972972972973,0.7345132743362832,56.90922212806203
quarter,2026Q2,v1_5_mss_variable,315.0,174.0,141.0,140.0,0.5523809523809524,0.44761904761904764,0.4444444444444444,0.40541967515478633,127.70719767375769,0.48823529411764705,0.8187134502923976,106.80915336012646
tf_direction,15m bearish,v1_base,920.0,559.0,361.0,350.0,0.6076086956521739,0.3923913043478261,0.3804347826086957,0.26247195586370586,241.4741993946094,0.0,1.0,0.0
tf_direction,15m bullish,v1_base,950.0,623.0,327.0,315.0,0.6557894736842105,0.34421052631578947,0.33157894736842103,0.056563645710766795,53.73546342522845,0.0,1.0,0.0
tf_direction,1h bearish,v1_base,223.0,156.0,67.0,66.0,0.6995515695067265,0.3004484304932735,0.29596412556053814,-0.015673164569731862,-3.4951156990502055,0.0,1.0,0.0
tf_direction,1h bullish,v1_base,229.0,152.0,77.0,75.0,0.6637554585152838,0.33624454148471616,0.32751091703056767,0.08603588580137334,19.702217848514493,0.0,1.0,0.0
tf_direction,30m bearish,v1_base,481.0,313.0,168.0,161.0,0.6507276507276507,0.3492723492723493,0.33471933471933474,0.09661622955723632,46.47240641703067,0.0,1.0,0.0
tf_direction,30m bullish,v1_base,518.0,335.0,183.0,173.0,0.6467181467181468,0.3532818532818533,0.333976833976834,0.09681358378745197,50.149436401900125,0.0,1.0,0.0
tf_direction,15m bearish,v1_5_mss_variable,503.0,246.0,257.0,249.0,0.48906560636182905,0.510934393638171,0.49502982107355864,0.6633247387599356,333.6523435962476,0.5599284436493739,0.7114285714285714,92.17814420163819
tf_direction,15m bullish,v1_5_mss_variable,581.0,301.0,280.0,271.0,0.5180722891566265,0.4819277108433735,0.4664371772805508,0.5303498181385844,308.13324433851756,0.5168539325842697,0.8603174603174604,254.3977809132891
tf_direction,1h bearish,v1_5_mss_variable,157.0,98.0,59.0,58.0,0.6242038216560509,0.37579617834394907,0.36942675159235666,0.2474774795811843,38.853964294245934,0.3717948717948718,0.8787878787878788,42.34907999329614
tf_direction,1h bullish,v1_5_mss_variable,169.0,97.0,72.0,71.0,0.5739644970414202,0.4260355029585799,0.42011834319526625,0.4022974766918299,67.98827356091925,0.3618421052631579,0.9466666666666667,48.28605571240476
tf_direction,30m bearish,v1_5_mss_variable,296.0,162.0,134.0,127.0,0.5472972972972973,0.4527027027027027,0.42905405405405406,0.43344113573345117,128.29857617710155,0.48242811501597443,0.7888198757763976,81.82616976007088
tf_direction,30m bullish,v1_5_mss_variable,367.0,210.0,157.0,147.0,0.5722070844686649,0.42779291553133514,0.40054495912806537,0.3049718143749723,111.92465587561483,0.373134328358209,0.8497109826589595,61.77521947371471
quarter_direction,2025Q1 bearish,v1_base,264.0,183.0,81.0,79.0,0.6931818181818182,0.3068181818181818,0.29924242424242425,-0.023596214758066225,-6.229400696129483,0.0,1.0,0.0
quarter_direction,2025Q1 bullish,v1_base,264.0,175.0,89.0,87.0,0.6628787878787878,0.3371212121212121,0.32954545454545453,0.05371963591537196,14.181983881658198,0.0,1.0,0.0
quarter_direction,2025Q2 bearish,v1_base,293.0,197.0,96.0,95.0,0.6723549488054608,0.32764505119453924,0.3242320819112628,0.058816541375652585,17.233246623066208,0.0,1.0,0.0
quarter_direction,2025Q2 bullish,v1_base,266.0,177.0,89.0,80.0,0.6654135338345865,0.33458646616541354,0.3007518796992481,-0.03970910863959296,-10.562622898131728,0.0,1.0,0.0
quarter_direction,2025Q3 bearish,v1_base,228.0,134.0,94.0,92.0,0.5877192982456141,0.41228070175438597,0.40350877192982454,0.35318082835503856,80.52522886494879,0.0,1.0,0.0
quarter_direction,2025Q3 bullish,v1_base,245.0,138.0,107.0,101.0,0.563265306122449,0.43673469387755104,0.4122448979591837,0.3506669643314912,85.91340626121534,0.0,1.0,0.0
quarter_direction,2025Q4 bearish,v1_base,314.0,204.0,110.0,108.0,0.6496815286624203,0.3503184713375796,0.34394904458598724,0.12237513391079942,38.42579204799102,0.0,1.0,0.0
quarter_direction,2025Q4 bullish,v1_base,324.0,220.0,104.0,101.0,0.6790123456790124,0.32098765432098764,0.3117283950617284,0.0038061222252628855,1.2331836009851749,0.0,1.0,0.0
quarter_direction,2026Q1 bearish,v1_base,280.0,157.0,123.0,112.0,0.5607142857142857,0.4392857142857143,0.4,0.4047816980396914,113.33887545111358,0.0,1.0,0.0
