row_index,d_confirm_time,timeframe,pattern_type,outcome,result_r,reached_tp1,reached_tp2,tp2_score,target,test_start,test_end,atr_percent,d_extreme_time,entry_time,tp1_r,tp2_r,mss_any_wick_160,mss_any_close_160,mss_before_entry_wick_160,mss_before_entry_close_160,mss_bars_wick_160,mss_bars_close_160,mss_break_pct_160
4197,2025-01-01 08:30:00,15m,bullish,sl_before_tp1,-1.2882984745105526,0,0,0.3318588488222246,reached_tp2,2025-01-01,2025-04-01,0.1655812886952547,2025-01-01 08:15:00,2025-01-01 08:45:00,3.774381959593052,2.0,1,1,0,0,49,50,0.08842845881675913
4198,2025-01-01 08:30:00,15m,bullish,sl_before_tp1,-1.2882984745105526,0,0,0.3254957204055931,reached_tp2,2025-01-01,2025-04-01,0.1655812886952547,2025-01-01 08:15:00,2025-01-01 08:45:00,2.909988752358524,2.0,1,1,0,0,49,50,0.08842845881675913
4199,2025-01-01 09:30:00,15m,bullish,no_fill,0.0,0,0,0.0402153146818081,reached_tp2,2025-01-01,2025-04-01,0.2110525830285209,2025-01-01 09:15:00,,0.0,0.0,1,1,0,0,29,29,0.06864592176932366
4200,2025-01-01 09:30:00,15m,bullish,no_fill,0.0,0,0,0.0491764057933885,reached_tp2,2025-01-01,2025-04-01,0.2110525830285209,2025-01-01 09:15:00,,0.0,0.0,1,1,0,0,29,29,0.06864592176932366
4201,2025-01-01 09:30:00,15m,bullish,no_fill,0.0,0,0,0.0489645625533642,reached_tp2,2025-01-01,2025-04-01,0.2110525830285209,2025-01-01 09:15:00,,0.0,0.0,1,1,0,0,29,29,0.06864592176932366
4202,2025-01-01 16:30:00,30m,bearish,sl_before_tp1,-1.113271275065036,0,0,0.2898532106669493,reached_tp2,2025-01-01,2025-04-01,0.3941893180875583,2025-01-01 15:30:00,2025-01-01 18:30:00,1.837818181818181,2.0,1,1,1,1,20,20,0.014064337953252154
4203,2025-01-01 21:30:00,15m,bearish,tp2,3.553567358143511,1,1,0.305013229487072,reached_tp2,2025-01-01,2025-04-01,0.2493461878580774,2025-01-01 21:15:00,2025-01-02 00:15:00,5.366906746884357,2.0,1,1,1,1,21,25,0.006338407580735467
4204,2025-01-01 21:30:00,15m,bearish,tp2,3.349143155307251,1,1,0.3049156605803254,reached_tp2,2025-01-01,2025-04-01,0.2493461878580774,2025-01-01 21:15:00,2025-01-02 00:15:00,4.958140094542306,2.0,1,1,1,1,21,25,0.006338407580735467
4205,2025-01-01 21:30:00,15m,bearish,tp2,3.03244897395788,1,1,0.3062616842194663,reached_tp2,2025-01-01,2025-04-01,0.2493461878580774,2025-01-01 21:15:00,2025-01-02 00:15:00,4.3248783841856335,2.0,1,1,1,1,21,25,0.006338407580735467
4206,2025-01-01 23:00:00,30m,bearish,sl_before_tp1,-1.1225206747674308,0,0,0.2919273089688088,reached_tp2,2025-01-01,2025-04-01,0.3484079358469807,2025-01-01 21:00:00,2025-01-02 00:00:00,2.5913393821064084,2.0,1,1,1,1,29,31,0.045867632775709107
4207,2025-01-01 23:00:00,30m,bearish,sl_before_tp1,-1.1225206747674308,0,0,0.3126731152538159,reached_tp2,2025-01-01,2025-04-01,0.3484079358469807,2025-01-01 21:00:00,2025-01-02 00:00:00,2.819661421844554,2.0,1,1,1,1,29,31,0.045867632775709107
4208,2025-01-02 05:00:00,15m,bearish,sl_before_tp1,-1.1551304997101477,0,0,0.3357892562289469,reached_tp2,2025-01-01,2025-04-01,0.3055291231691997,2025-01-02 04:45:00,2025-01-02 07:15:00,2.9690220972433186,2.0,0,0,0,0,999,999,0.0
4209,2025-01-02 05:00:00,15m,bearish,sl_before_tp1,-1.1551304997101477,0,0,0.3352257523015445,reached_tp2,2025-01-01,2025-04-01,0.3055291231691997,2025-01-02 04:45:00,2025-01-02 07:15:00,3.887752118633973,2.0,0,0,0,0,999,999,0.0
4210,2025-01-02 06:00:00,30m,bearish,sl_before_tp1,-1.107086537959847,0,0,0.3127847219344526,reached_tp2,2025-01-01,2025-04-01,0.4601894407236909,2025-01-02 04:30:00,2025-01-02 07:00:00,2.6085756063595107,2.0,0,0,0,0,999,999,0.0
4211,2025-01-02 11:15:00,15m,bearish,tp2,2.9843309699229503,1,1,0.3332378369618318,reached_tp2,2025-01-01,2025-04-01,0.2809062760745862,2025-01-02 11:00:00,2025-01-02 11:45:00,4.203269550069366,2.0,1,1,1,1,4,4,0.07325286224938828
