filter,rows,sl,tp2,sl_removed_vs_base,tp2_retention_vs_base,sl_rate,tp2_rate,avg_r,total_r,total_r_delta_vs_base
stage2_test_unfiltered_v1,1721,1066,628,0.0,1.0,0.6194073213248111,0.3649041255084253,0.21645401311106247,372.5173565641385,0.0
static_mss_variable_pass,1041,533,487,0.5,0.7754777070063694,0.5120076849183477,0.4678194044188281,0.5651233172250497,588.2933732312767,215.77601666713826
stage2_prob >= 0.25,1185,615,548,0.4230769230769231,0.8726114649681529,0.5189873417721519,0.46244725738396625,0.5448845591512749,645.6882025942607,273.1708460301222
stage2_prob >= 0.3,1065,547,497,0.48686679174484054,0.7914012738853503,0.5136150234741784,0.4666666666666667,0.5428229156829384,578.1064052023294,205.5890486381909
stage2_prob >= 0.35,772,373,387,0.650093808630394,0.6162420382165605,0.483160621761658,0.5012953367875648,0.6619518354529074,511.0268169696445,138.50946040550605
stage2_prob >= 0.4,567,239,320,0.775797373358349,0.5095541401273885,0.42151675485008816,0.564373897707231,0.8896325196044383,504.4216386157165,131.90428205157804
stage2_prob >= 0.45,427,161,262,0.848968105065666,0.4171974522292994,0.3770491803278688,0.6135831381733021,1.0611068551460794,453.0926271473759,80.5752705832374
stage2_prob >= 0.5,347,118,226,0.8893058161350844,0.35987261146496813,0.3400576368876081,0.6512968299711815,1.1926021168650611,413.8329345521762,41.31557798803772
stage2_prob >= 0.55,305,94,209,0.9118198874296435,0.3328025477707006,0.3081967213114754,0.6852459016393443,1.3239115611458376,403.79302614948045,31.275669585341973
stage2_prob >= 0.6,235,67,166,0.9371482176360225,0.2643312101910828,0.2851063829787234,0.7063829787234043,1.3749073860198944,323.1032357146752,-49.4141208494633
stage2_prob >= 0.65,125,33,91,0.9690431519699813,0.1449044585987261,0.264,0.728,1.4771947862165271,184.64934827706588,-187.8680082870726
stage2_prob >= 0.7,40,14,26,0.9868667917448405,0.041401273885350316,0.35,0.65,1.1213393123794027,44.85357249517611,-327.6637840689624
