"FullName","Length","LastWriteTime"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\MANIFEST.csv","0","2026/6/11 23:41:47"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\README.md","2983","2026/6/11 23:41:34"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\data\raw\BTCUSDT_15m.csv","5703300","2026/6/10 23:37:10"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\data\raw\BTCUSDT_1h.csv","1438938","2026/6/10 23:37:37"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\data\raw\BTCUSDT_30m.csv","2866409","2026/6/10 23:37:29"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\data\raw\BTCUSDT_4h.csv","363509","2026/6/10 23:37:39"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\data\raw\BTCUSDT_5m.csv","16979342","2026/6/11 0:12:46"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\archive_reference\README_strategy_main_v1_5.md","2540","2026/6/11 22:34:12"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\abcd_d_confirmation_events.csv","5191709","2026/6/11 14:11:05"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\abcd_d_confirmation_summary.csv","1196","2026/6/11 14:11:05"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\candidate_v1_5_stability.csv","11235","2026/6/11 22:23:58"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\candidate_v1_with_mss_features_160.csv","1358018","2026/6/11 22:21:54"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\direction_stability_atr_filter.csv","1328","2026/6/11 15:36:54"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\filter_by_timeframe_comparison.csv","3979","2026/6/11 14:11:42"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\mss_variable_window_15m72_30m120_1h160.csv","2689","2026/6/11 22:22:21"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\quarter_stability_atr_filter.csv","3618","2026/6/11 15:36:30"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\timeframe_direction_atr_filter.csv","1941","2026/6/11 15:37:18"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\ml_tp2\d_setup_filter_coefficients.csv","4724","2026/6/11 14:11:17"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\ml_tp2\d_setup_filter_predictions.csv","726921","2026/6/11 14:11:17"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\reports\wf_fib0382_risk125_partial_rerun\ml_tp2\d_setup_filter_walk_forward.csv","13340","2026/6/11 14:11:17"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\trading\analysis\abcd_backtester.py","25937","2026/6/11 0:05:16"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\trading\analysis\abcd_d_confirmation_event_study.py","24977","2026/6/11 13:33:31"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\trading\analysis\abcd_mss_delayed_entry_experiment.py","13222","2026/6/11 21:40:41"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\trading\analysis\download_binance_futures_klines.py","3067","2026/6/11 0:10:54"
"C:\Users\12645\TradingBot_01\versions\strategy_v1_5_static_full_2026-06-11\trading\analysis\train_d_setup_filter.py","9222","2026/6/11 11:43:09"
